# STN,YYYYMMDD,H,FH,T,RH,R
260,20150101,1,40,24,0,0
260,20150101,2,40,22,0,0
260,20150101,3,40,16,0,0
260,20150101,4,40,13,0,0
260,20150101,5,40,12,0,0
260,20150101,6,50,15,0,0
260,20150101,7,50,16,0,0
260,20150101,8,50,17,0,0
260,20150101,9,50,18,0,0
260,20150101,10,50,24,0,0
260,20150101,11,50,31,0,0
260,20150101,12,60,35,0,0
260,20150101,13,60,41,0,0
260,20150101,14,60,42,0,0
260,20150101,15,50,40,0,0
260,20150101,16,50,40,0,0
260,20150101,17,50,40,0,0
260,20150101,18,60,39,0,0
260,20150101,19,60,35,0,0
260,20150101,20,60,36,0,0
260,20150101,21,70,35,0,0
260,20150101,22,60,37,0,0
260,20150101,23,70,40,0,0
260,20150101,24,80,46,-1,1
260,20150102,1,80,50,4,1
260,20150102,2,90,55,1,1
260,20150102,3,90,55,17,1
260,20150102,4,90,65,2,1
260,20150102,5,80,73,4,1
260,20150102,6,80,76,2,1
260,20150102,7,70,92,13,1
260,20150102,8,50,98,-1,1
260,20150102,9,60,89,0,0
260,20150102,10,60,86,0,0
260,20150102,11,60,88,0,0
260,20150102,12,60,88,0,0
260,20150102,13,70,88,0,0
260,20150102,14,60,83,0,0
260,20150102,15,60,77,0,0
260,20150102,16,50,70,0,0
260,20150102,17,50,70,0,0
260,20150102,18,50,70,0,0
260,20150102,19,50,67,0,0
260,20150102,20,40,61,0,0
260,20150102,21,40,61,0,0
260,20150102,22,40,62,0,0
260,20150102,23,40,60,0,0
260,20150102,24,40,59,0,0
260,20150103,1,30,48,0,0
260,20150103,2,30,38,0,0
260,20150103,3,30,42,0,0
260,20150103,4,30,44,0,0
260,20150103,5,40,41,0,0
260,20150103,6,40,43,0,0
260,20150103,7,50,41,0,0
260,20150103,8,50,50,0,0
260,20150103,9,50,40,1,1
260,20150103,10,40,39,5,1
260,20150103,11,50,39,5,1
260,20150103,12,40,36,1,1
260,20150103,13,40,34,-1,1
